smiles,target_name,docking_score,affinity_list,num_conformers,pdb_file,docking_status
CC(=O)Oc1ccccc1C(=O)O,PPARG,-6.7,"[-6.7, -6.2, -6.2, -6.0, -6.0, -6.0, -6.0, -6.0, -5.8]",9,docking_poses/PPARG_CC(=O)Oc1ccccc1C(=O)O_complex.pdb,success
CC(=O)Oc1ccccc1C(=O)O,PTGS2,-6.6,"[-6.6, -6.5, -6.4, -6.3, -6.2, -6.2, -6.1, -6.0, -5.8]",9,docking_poses/PTGS2_CC(=O)Oc1ccccc1C(=O)O_complex.pdb,success
CC(=O)Oc1ccccc1C(=O)O,DPP4,-7.0,"[-7.0, -6.4, -6.0, -5.7, -5.7, -5.4, -5.3, -5.3, -5.2]",9,docking_poses/DPP4_CC(=O)Oc1ccccc1C(=O)O_complex.pdb,success
